reviewid	title	body	shortdescription
13179	High Quality	This is a very high quality, well made product. It works like it should. Profoto has nothing less than excellent customer service too.	BrandXYZs Speed Ring is for all BrandXYZ softboxes.
13217	Better than an iPod	I first got a Zune 2 years ago for xmas. My hubby and I loved it so much we'd fight over which one of us got to use it. This year, I bought the special edition Gears of War edition for my hubby since he loves that game. The best part of Zune is the firmware updates. His zune came with the latest updates that included games. When I plugged mine "old" zune in, I got the update and recieved the games also. So no matter what, your zune can only get better! I have friends that have iPods and they always drool over my Zune. The songs are cheaper also overall. And since it's Micrsoft, if you have any Microsoft, Xbox, or Zune points, they all work the same so you can use them to buy songs if you want. All it takes is a Windows Live ID. WE LOVE OUR ZUNES!	The best-selling Xbox franchises of all time, Xbox and Epic Games Inc. have collaborated with BrandXYZ to create this unique portable media player. The BrandXYZ "Gears of War 2" special edition is based on the new BrandXYZ 120GB device and features a laser-etched Crimson Omen on the new glossy black enclosure, collectible "Gears of War" packaging, and 244 pieces of "Gears of War" media including the original game soundtrack, behind-the-scenes videos, game trailers and concept art galleries.has a...
13196	Most excellent picture, sound, remote, setup & interface...	This is an excellent product in every way !!! Including a guarantee of "No Defective Bright Pixels" !!! -- The picture is outstanding from ANY angle ,,, truly no fade-out at the sides !!! I'm impressed. The Wizard setup is a piece-of-cake ,,, Just click OK. The Menus are navigable and comprehensible i.e. If confused choose "standard". The high quality REMOTE, which is stable when standing upright, feels comfortable in my hand, has a nice weight, a soft felt back and easy to reach and comprehend buttons. Remote response time is immediate [after initial channel download]. The angle of Remote Control to TV reception is near 90 degrees; if you can see the screen ,,, so can the remote :-) The SOUND quality is MOST excellent. Not tinny or muffled !!! I have it set at 30, out of 100, and I can easily hear and understand as I walk throughout my home. A marked difference from other TV's I've owned where the audio becomes garbled, muffled and I can't understand at any volume. The CONNECTORS are of ALL TYPES and are mounted on both the back and the side. They are clearly labeled for their function ,,, and correspond to the Remote Control buttons. I just took delivery of my Vizio today. Before purchase I read criticisms on another website ,,, those criticisms ARE BOGUS in my view. This product is MOST EXCELLENT !!! In every way !!! Maybe all of the criticisms have been addressed by VISIO ??? This Model has been out since at least 2006, sale price at that time $1,000.00. The setup took me 5 minutes out-of-the-box !!! -- Oh yeah ,,, there's another nice feature, a built-in remote mounted on the side for those who can't keep track of that "mobile" remote control :-)	BrandXYZ VOJ320F was designed to buck the trend of traditional black accents most commonly portrayed in consumer electronics today. The BrandXYZ "Java" colorization blends a more modern hue that is suitable for any decor. While impressing with overall design characteristics, BrandXYZ packs the VOJ320F with technology including full high definition 1080p processing power, 3x HDMI inputs and over 16 million colors to impress.
13198	Excellent Buy	I bought mine at Walmart for $447 because of a price mixup, its usuaully $497 there. I am more then impressed with the TV, i love the bottom gold stripe on the bezel and the vizio logo on the bottom front glows a very faint amber when the TV is off and a very faint white when on, just enough to look nice without being annoyingly bright. The picture is amazing. I use mine mainly for gaming in my bedroom. I am positioned only about 3-4' away from the TV so the 1080p really looks sharp. If you have to sit farther away then 4-5 feet you might want to go with the bigger model, as its hard to see the 1080p picture enhancement farther away then that on a 32". I would recommend this TV to anyone, if you can find it! 3 HDMI's, + VGA is nice too.	BrandXYZ VOJ320F was designed to buck the trend of traditional black accents most commonly portrayed in consumer electronics today. The BrandXYZ "Java" colorization blends a more modern hue that is suitable for any decor. While impressing with overall design characteristics, BrandXYZ packs the VOJ320F with technology including full high definition 1080p processing power, 3x HDMI inputs and over 16 million colors to impress.
13203	An Excellent Value with True 1080p Resolution	Purchased this flat screen this week. Pricing is very good & competitive all over. Especially Target & Sears. I purchased mine at a standard sale before Christmas at Sears for $399.00, which is an excellent value. This model's screen measures 31.5", and with proper HDMI connections, is a TRUE 1080p set. The vast majority of sets at this price display at 720p or lower, and the ONLY way they can advertise they display true HD is with a pure HD signal coming in. Those sets still only display NEAR 1080p, with a direct signal of such. This is basically impossible with cable & satellite. A good Blue Ray DVD player can achieve this. This set is a cinch to setup, the TV does it on it's own. Picture quality with cable is okay, but not outstanding. Connecting with HDMI cables improves the signal a great deal. This Vizio set does not have enough choices during setup to adjust the picture to my personal liking. There is no choice for "Sharpness" or Contour Shaping and the like. If you're getting a poor cable signal, you're pretty much stuck with a fuzzy picture. The sound has several different genre's (Rock, Jazz, Classical, etc) to choose to hear through the front firing speakers, but these selections don't make a major difference regardless of what you choose. There are no choices to adjust Bass & Treble. Sound is bright, clear & capable of being set loud, but a bit brash & sharp sounding with minimal bass. All considered, a good choice for a bedroom set.	BrandXYZ VOJ320F was designed to buck the trend of traditional black accents most commonly portrayed in consumer electronics today. The BrandXYZ "Java" colorization blends a more modern hue that is suitable for any decor. While impressing with overall design characteristics, BrandXYZ packs the VOJ320F with technology including full high definition 1080p processing power, 3x HDMI inputs and over 16 million colors to impress.
13204	GREAT viewing, but device/channel changing problems	I love everything about this model, except for device control. I've connected it to my cable and Blue-Ray player with HDMI cables. When I watch them I must switch to HDMI1 and HDMI2 respectively. Often, very often, after I turn the TV on I have to switch off HDMI1 and back 2+ times before I can view the TV. This doesn't happen with the Blue-Ray... When I can't view the TV I get the message, "Unrecognized format." Frequently I loose the "connection" between the TV and cable box when changing channels. In those cases I need to switch away from HDMI1 and back 1+ times. The cause of this may be something that I am or am not doing, but haven't figured it out. Great viewing--great sound--great looks... Sorry to say that I may return it because of the channel hassles.	BrandXYZ VOJ320F was designed to buck the trend of traditional black accents most commonly portrayed in consumer electronics today. The BrandXYZ "Java" colorization blends a more modern hue that is suitable for any decor. While impressing with overall design characteristics, BrandXYZ packs the VOJ320F with technology including full high definition 1080p processing power, 3x HDMI inputs and over 16 million colors to impress.
13199	Excellent HDTV at a price that's easy on the budget	Vizio has advertised for a while now (ESPN Radio and other places) that they make top quality HDTV equipment at affordable prices and they are not kidding or just boasting in making those claims. When I originally jumped into the HDTV world I did so on a budget. Having committed a considerable portion of my entertainment budget to get an Xbox 360 back when those boxes were being introduced to the market, I didn't have a lot of money to spend buying a large HDTV to play my games on. Given the budget constraints and also some space constraints, I settled on a 26" CRT, yes, that's right, I said CRT, widescreen HDTV that I got from a big box store that some folks would say fairly well resembles the Buy More stores shown on the excellent TV series Chuck each week ;-) I knew it wasn't the best TV and knew that I'd want to replace it later, but it was HD, it was widescreen, and it easily blew away the picture quality of the old 27" 4:3 standard TV that it replaced. A couple of years and tax refunds later it was time to revisit the HDTV I played my games on, and I started shopping around to see what I might be able to attain at the price that I wanted to aim for. I found a couple of Vizio models in my price range, including a few that might, just might, be in stock at one of the big retail stores in my area. Unfortunately there was no guarantee that the models that I saw online were going to be in stock in the brick and mortar stores, so I continued researching things on the web until I found the Vizio VO32LF HDTV at Amazon partner TigerDirect.com. Yes, I know that's not exactly the same model as the one listed where I'm entering this review (the VOJ320F1A), but it is, for all intents and purposes, the same model TV with a different colored bezel (face) around the front of the TV's screen. As it turns out Vizio has a couple of 32" models and a couple of 37" model TVs that are basically the same TV but each with a slightly different model number that denotes a different bezel or other relatively cosmetic difference between them. The VO32LF TV that I purchased was one that TigerDirect offered as a refurbished unit. The price was outstanding, though the refurbished label did raise my concern a little. Why exactly was the unit refurbished and/or recertified? There could be several reasons, and a buyer is never going to know for certain what the real story is. What the buyer does know is that the manufacturer has made the unit available via a retailer with the refurbished/recertified notation and the manufacturer is still guaranteeing the unit for a reasonable period of time upon purchase. Given the price and feature set, I thought over the potential purchase, researched other comparable models only to find that there were few, if any, that even came close to being as fully featured in the same price ranges, and decided that one of these TVs was going to be mine. Order placed, and sure enough, approx. 5 days later the TV was in my hands. Knowing the unit that I got was a refurbished/recertified unit, I was somewhat eager to open the box and see if I could determine why the unit might have been sold that way. Quite honestly, unless the problem was a very minor scuff like mark on the bezel that may very well just be a shadow/reflection from the lamp light in my 'den' area, I couldn't tell you what the issue was. The only thing I did find out of the ordinary was that the unit didn't come with a power cord. It was supposed to have, but I didn't find one in the box. No problem though as the TV uses a standard computer or computer monitor power cord and I tend to have spares of those on hand. Once set up, I was and remain quite pleased with my purchase. The picture quality is excellent and the sound (volume range) is quite sufficient for my video gaming, movie and TV watching needs. Having 3 HDMI ports available means not having to juggle connections or settle for a component connection when I'd rather use HDMI. There's also the full 1080p resolution, which even on the 32" screen size (which is not really supposed to be noticable at that size) offers the best resolution possible for video gaming or Blu-ray disc play back. Having bought one of these great TVs, I look forward to buying at least one more in a much larger size in the future. Eventually my living room will sport something in the 42"+ size, and I expect Vizio's offerings will be highly considered.	BrandXYZ VOJ320F was designed to buck the trend of traditional black accents most commonly portrayed in consumer electronics today. The BrandXYZ "Java" colorization blends a more modern hue that is suitable for any decor. While impressing with overall design characteristics, BrandXYZ packs the VOJ320F with technology including full high definition 1080p processing power, 3x HDMI inputs and over 16 million colors to impress.
13201	I Luv, Luv, Luv This Television	This TV is amazing, and I'm not even watching it at its full capabilities. To start with, I'm hooked up to TiVo, so there's a certain amount of picture degradation that occurs, and you can't get HiDef unless you spend big bucks for a HiDef TiVo. But, given all that, the picture quality is far superior to all the other televisions in this house. It's sharp, clear, and steady as a rock. Want to know what I like best about it? It's a 32" TV and it ONLY WEIGHS 35 LBS. I almost got a double hernia moving the old 27" TV out of the way, but I one-handed this baby right onto the stand. Hook up was a cinch because Vizio (the ONLY U.S. made television) includes a quick set-up guide, and an excellent instruction manual. Okay, I did have to make one quick trip to Radio Shack to buy a cable I didn't have, but I was forewarned about that, so I don't count it as a negative. Lots of hook-up options, so no matter how or what you want to hook up to this set, there's a hook up available for it (provided you have the right cable). Programming my TiVo remote to control the TV was a cinch since Vizio only has one code. How's that for simplicity? This LCD HiDef true 1080P television set is excellent at any price, but how can you go wrong for $550 - 580? Oh, and it looks good, too. It's an outstanding buy, and I highly recommend it.	BrandXYZ VOJ320F was designed to buck the trend of traditional black accents most commonly portrayed in consumer electronics today. The BrandXYZ "Java" colorization blends a more modern hue that is suitable for any decor. While impressing with overall design characteristics, BrandXYZ packs the VOJ320F with technology including full high definition 1080p processing power, 3x HDMI inputs and over 16 million colors to impress.
13202	You will Love this Vizio 32" 1080p LCD HDTV	I found this TV very easy to set up out of the box and the remote easy to use, you can use your computer or lap top on it. The picture is very nice I am vary happey with a Full HD TV for around $500.00.	BrandXYZ VOJ320F was designed to buck the trend of traditional black accents most commonly portrayed in consumer electronics today. The BrandXYZ "Java" colorization blends a more modern hue that is suitable for any decor. While impressing with overall design characteristics, BrandXYZ packs the VOJ320F with technology including full high definition 1080p processing power, 3x HDMI inputs and over 16 million colors to impress.
13205	A Good Buy	At $448 street, it's a tough box to beat in the 32-inch class. We actually targeted the VO32E as a Consumer Reports Best Buy ... as usual, we could not find any and I'm sorry to say that on-line pricing is not competitive among most models. We chose this one locally with a $30 2-year add-on warranty that actually starts AFTER the manufacturer warranty expires. Ready? ... Walmart. Setup - it's a breeze with an 'initialization' screen that welcomes one with first turn-on, starting with an auto channel search routine for those using cable/over-the-air. Since we're rigged with AT&T U-verse (a nice service), I can't speak to over-the-air reception and dumped cable after years of abuse by that outfit. It has all the setups needed for color density, contrast, yada accessed by a very intuitive remote control. The only confusion was how to 'save' an entry (hint - the 'LAST' button is the answer). It was not necessary to review the guide ... gee, that would ruin the challenge. Picture Quality - 1080P is quite good and better than an on-display Sony Bravia of the same price. 720P is satisfying and, in either case, viewing angle very good. This set HAS the ability to automatically stretch 720 to full screen, but it's not a perfect process; it can get lost after running through setup options for reasons unknown. It does a nice job of correctly sizing old 4:3 format video under 720 and 1080P. Aspect ratio is an on-going challenge with our 37-in Toshiba, which can't seem to figure out what kind of signal it is getting. Sound - it's VERY well balanced in tone and clarity. typically lacking low bass. When we added a mini component stereo system fed by the set's 'autio output' jacks to enhance the 'missing' bass it blended beautifully with the set speakers, which can be set to 'off' as desired. Further, the set's audio output feed can be set as 'fixed level' or to track up and down with set speaker/ volume level; very thoughtful feature. Inputs - 3 HDMI, 2 Audio/Visual (L-R-Video), and 2 three color component inputs. Outputs - There is one L-R RCA jacks analog output along with an RCA jack digital audio output. All inputs can be programmed with a friendly name. I rate this set as a 'best buy' in its class, outshining the Sony Bravia version sitting by its side.	BrandXYZ VOJ320F was designed to buck the trend of traditional black accents most commonly portrayed in consumer electronics today. The BrandXYZ "Java" colorization blends a more modern hue that is suitable for any decor. While impressing with overall design characteristics, BrandXYZ packs the VOJ320F with technology including full high definition 1080p processing power, 3x HDMI inputs and over 16 million colors to impress.
13206	Vizio 1080p HDTV	I purchased this Tv From [...] for [...] and it was a great buy. The picture is out of this world, with my Directv HD package and my 7 speaker surround system it takes TV watching to a totally different level. I was not a true believer in HDTV , I am a changed man now , if you are purchasing a 1080p HDTV please upgrade your cable or other services to high def programming to really enjoy all your HDTV has to offer. The Speakers on the TV are ok , but I prefer to hook up a true surround system. I forgot to mention that the TV looks great too.	BrandXYZ VOJ320F was designed to buck the trend of traditional black accents most commonly portrayed in consumer electronics today. The BrandXYZ "Java" colorization blends a more modern hue that is suitable for any decor. While impressing with overall design characteristics, BrandXYZ packs the VOJ320F with technology including full high definition 1080p processing power, 3x HDMI inputs and over 16 million colors to impress.
13208	GREAT GREAT GREAT	I JUST BOUGHT TWO 32 INCH VIZIO FLAT SCREEN TVS AND MY KIDS LOVE IT. THE PRICE OMG LOVE IT,YOU CANT GO WRONG WITH THIS BRAND AND PRICE HURRY GET ON LINE NOW BECAUSE THEY WONT LAST.	BrandXYZ VOJ320F was designed to buck the trend of traditional black accents most commonly portrayed in consumer electronics today. The BrandXYZ "Java" colorization blends a more modern hue that is suitable for any decor. While impressing with overall design characteristics, BrandXYZ packs the VOJ320F with technology including full high definition 1080p processing power, 3x HDMI inputs and over 16 million colors to impress.
13213	Great product!	These binders are fantastic. I know have my shelf space back and it helps make the area look more classy. Great product!	BrandXYZ Brown CD/DVD/Blu-Ray Binder. Store your CDs or DVDs in these beautiful binders. Designed to look like books, they blend in with the books on your bookshelf. Each binder includes 12 binder insert pages capable of holding a total 48 CDs or DVDs. Store photo discs, DVD or Blu-Ray movies, or CD music collections. With additional insert pages, each storage binder is expandable.The data and music you collect needs to be securely stored in a case that truly protects it. DVD holders, CD holders...
13214	GR8T BINDER!!!	The Bellagio Italia brown binders are great. I have mostly just used the black color after seeing some aquantiences with the brown i decieded i better get that color too. The 6 pack was just the right amount to finish off my DVD collection. Wonderful idea and great product.	BrandXYZ Brown CD/DVD/Blu-Ray Binder. Store your CDs or DVDs in these beautiful binders. Designed to look like books, they blend in with the books on your bookshelf. Each binder includes 12 binder insert pages capable of holding a total 48 CDs or DVDs. Store photo discs, DVD or Blu-Ray movies, or CD music collections. With additional insert pages, each storage binder is expandable.The data and music you collect needs to be securely stored in a case that truly protects it. DVD holders, CD holders...
13215	Extremely Cool!	This is my 3rd Zune from Microsoft. I used up all the memory on my 80 gig, so I decided to buy a Zune 120, and also decided to shell out the extra 20$(?) for the Gears of War Content. I must say, this Zune is very sexy. It's sleek, shiny, and has has an awesome logo on the back. The only thing I was disappointed with was the standard headphones. They sound good, but the premium ones that came with my 80 gig are exceptionally better. If you are a gamer and want a Zune, this one is definitely the one to get, even for the Gears of War swag that's comes along with it.	The best-selling Xbox franchises of all time, Xbox and Epic Games Inc. have collaborated with BrandXYZ to create this unique portable media player. The BrandXYZ "Gears of War 2" special edition is based on the new BrandXYZ 120GB device and features a laser-etched Crimson Omen on the new glossy black enclosure, collectible "Gears of War" packaging, and 244 pieces of "Gears of War" media including the original game soundtrack, behind-the-scenes videos, game trailers and concept art galleries.has a...
13228	Excellent Customer Service	I filled my 30Gig with my music collection and was very happy with the Zune product. I dropped the device and shattered the screen, even though the device still operated these two factors justified the purchase of a new bigger player. The price of the Gears of War 120Gig edition appealed so I took the plunge. Alas after one days use the lock switch became stuck in the locked position, rendering the device inoperable. I used the internet customer service for the Zune product, received a replacement unit and I am syncing my music and podcasts at this moment. Overall I am pleased with the product.	The best-selling Xbox franchises of all time, Xbox and Epic Games Inc. have collaborated with BrandXYZ to create this unique portable media player. The BrandXYZ "Gears of War 2" special edition is based on the new BrandXYZ 120GB device and features a laser-etched Crimson Omen on the new glossy black enclosure, collectible "Gears of War" packaging, and 244 pieces of "Gears of War" media including the original game soundtrack, behind-the-scenes videos, game trailers and concept art galleries.has a...
13235	Simply Awesome...	What more can you ask for, Zune and Gears of War 2. Its Microsoft goodness all over the place. 120 GB of musix, podcast and video storing love. Try out the wireless syncing and marketplace options and see why this is a true IPOD killer.	The best-selling Xbox franchises of all time, Xbox and Epic Games Inc. have collaborated with BrandXYZ to create this unique portable media player. The BrandXYZ "Gears of War 2" special edition is based on the new BrandXYZ 120GB device and features a laser-etched Crimson Omen on the new glossy black enclosure, collectible "Gears of War" packaging, and 244 pieces of "Gears of War" media including the original game soundtrack, behind-the-scenes videos, game trailers and concept art galleries.has a...
13243	Zune 120 gears of war 2	Great device. Lots of memory for storing movies, pics, music. Have about 40 movies lots of music and many-many pics right now and still have about 90g left. Highly recommend	The best-selling Xbox franchises of all time, Xbox and Epic Games Inc. have collaborated with BrandXYZ to create this unique portable media player. The BrandXYZ "Gears of War 2" special edition is based on the new BrandXYZ 120GB device and features a laser-etched Crimson Omen on the new glossy black enclosure, collectible "Gears of War" packaging, and 244 pieces of "Gears of War" media including the original game soundtrack, behind-the-scenes videos, game trailers and concept art galleries.has a...
13244	Good Deal	I needed something to carry music with and I play alot of games, Im content.	The best-selling Xbox franchises of all time, Xbox and Epic Games Inc. have collaborated with BrandXYZ to create this unique portable media player. The BrandXYZ "Gears of War 2" special edition is based on the new BrandXYZ 120GB device and features a laser-etched Crimson Omen on the new glossy black enclosure, collectible "Gears of War" packaging, and 244 pieces of "Gears of War" media including the original game soundtrack, behind-the-scenes videos, game trailers and concept art galleries.has a...
13250	More than happy	I am more than happy with the Zune I purchased. With the addition of a couple of accesories, it has become the perfect multi media player. I run it through my X-box 360 and watch all of my movies without having to worry about the "red ring of death" from overheating. With the addition of travel speakers I can use it in the laundry room while doing America's favorite chore! Not to mention it comes with a set of headphones for those with more conventional tastees. Worth every penny.	The best-selling Xbox franchises of all time, Xbox and Epic Games Inc. have collaborated with BrandXYZ to create this unique portable media player. The BrandXYZ "Gears of War 2" special edition is based on the new BrandXYZ 120GB device and features a laser-etched Crimson Omen on the new glossy black enclosure, collectible "Gears of War" packaging, and 244 pieces of "Gears of War" media including the original game soundtrack, behind-the-scenes videos, game trailers and concept art galleries.has a...
13252	AMAZING!!!!!!!!	This is an AMAZING Zune. It's got Gears of War 2 soundtracks, pictures, videos and more. The new Zune firmware contains games as well as wireless syncing. 120 GB of memory. That's ALOT of music and movies. I am really glad I bought this, and I don't regret it at all!! I recommend getting one. You won't be sorry. Enjoy	The best-selling Xbox franchises of all time, Xbox and Epic Games Inc. have collaborated with BrandXYZ to create this unique portable media player. The BrandXYZ "Gears of War 2" special edition is based on the new BrandXYZ 120GB device and features a laser-etched Crimson Omen on the new glossy black enclosure, collectible "Gears of War" packaging, and 244 pieces of "Gears of War" media including the original game soundtrack, behind-the-scenes videos, game trailers and concept art galleries.has a...
13256	Refurbished unit?	I think I received a refurbished unit. When I opened the package, I immediately noticed the cut sticker on one side of the box. When I took out the unit from the box and turned the unit on, I immediately noticed that its 85% charged.	The best-selling Xbox franchises of all time, Xbox and Epic Games Inc. have collaborated with BrandXYZ to create this unique portable media player. The BrandXYZ "Gears of War 2" special edition is based on the new BrandXYZ 120GB device and features a laser-etched Crimson Omen on the new glossy black enclosure, collectible "Gears of War" packaging, and 244 pieces of "Gears of War" media including the original game soundtrack, behind-the-scenes videos, game trailers and concept art galleries.has a...
13262	Sennheiser OMX80 Sport - Ultimate Sport	After spending $600 plus on portable higher-end headphones (in ear, out ear, all over the ear) few were found usable for the sport arena where sweat, heat and oils are an issue. (Running, Jogging, Gym Machines of all kinds, Beaching, Boating, Canoeing, Kayaking) The OMX80 Sport is the ticket. From the price to the performance it's the only way to go. Some say the volume is not acceptable, well I have 5 mp3 players from 4 various companies - Apple, iRiver, Archos, Sandisk and the sound volume is more than ample, unless you intend on surgery from a blown ear drum. The sound quality is of course not a full ear $350 Bose or others like that but for the sport arena and for listening pleasure it's more than enough. ps I'm a sound critic, been in sound reproduction full and part time for 15 years.	OMX80-Blue clip on ear speakers are compatiable with mp3 players, I-Pod and other portable devices with a 1/8 inch connector. BrandXYZ Basswind System delivers poweful bass response. Sweat and water-resistant, washable under running water.Cable and carrying pouch included. 2-year warranty.
13263	Last pair of Sennheiser earphones for me!	This is my third pair of Sennheiser earphones/headphones...and my last! I've had to replace all three pairs due to unacceptable sound quality and poor design. I could at least accept that the poor sound quality on the previous headphones was due to the lower cost, but for $60, I expect something better than my $20 Sony sports headphones. These are actually worse! I found that the vocals were not clear and that the sound was generally dull. With the larger earbuds and a better seal, I did get an improvement in bass, but it overwhelmed the higher ranges and made them sound even worse. Also, I wanted to specifically address the asymmetrical cord, which is a huge design flaw in my opinion. Whoever came up with this design obviously does not work out on a regular basis. The best place for headphone cords to hang is centered directly in front of you. When you put them behind your neck, they sit on your shoulders and get pulled on whenever you twist your body. When you put them in front, but they hang to the left side (as is the case with asymmetrical cords), they get pulled on whenever you do exercises with your left arm. One of the other reviewers mentioned having to adjust the left side more often - this is because the asymmetrical cord puts all the weight of the cord on the left side. This is just a horrible configuration for headphones, particularly when they're intended for working out. Now, what I will say about these headphones (and it's the reason I'm giving them two stars instead of one) is that the earhooks are fantastic. They aren't just pliable, they're adjustable! They have some wire in the part that goes over your ear, so when you adjust them to your ear, they maintain the shape. My right ear is slightly different from my left ear, so this allowed me to get an excellent fit on both. The only downside to this is that a hard case is not provided for them, so your custom fit is likely to get bent out of shape if you store them in a crowded gym bag.	OMX80-Blue clip on ear speakers are compatiable with mp3 players, I-Pod and other portable devices with a 1/8 inch connector. BrandXYZ Basswind System delivers poweful bass response. Sweat and water-resistant, washable under running water.Cable and carrying pouch included. 2-year warranty.
13264	Workout Companions	I bought these specifically for use at the gym. So far, so good. The sound quality is good. I do weight training and use the elliptical machine. They pretty much stay in place for my entire workout. I think I must have a deformity with my left ear, because that is the only one that I have to adjust during my workouts once or twice. Other than that, pleased with them.	OMX80-Blue clip on ear speakers are compatiable with mp3 players, I-Pod and other portable devices with a 1/8 inch connector. BrandXYZ Basswind System delivers poweful bass response. Sweat and water-resistant, washable under running water.Cable and carrying pouch included. 2-year warranty.
13265	These are awful....	I purchased these headphones for use while running. I've kept them for a year because they were so expensive, but I finally had to break down and get a different kind. First, the cord length is not adjustable, and the cord coming from the right side is much longer than that coming from the left. Also, the rubbery feel of the cord makes it "snag" on everything, which causes the headphones to be constantly yanked out of my ear as I move my arms. Finally, the adjustable arm that hooks over the ear is just too big - no matter how I bend it, it is not snug against my ear. Not sure why I've put up with them for so long.	OMX80-Blue clip on ear speakers are compatiable with mp3 players, I-Pod and other portable devices with a 1/8 inch connector. BrandXYZ Basswind System delivers poweful bass response. Sweat and water-resistant, washable under running water.Cable and carrying pouch included. 2-year warranty.
13266	Amazing sound!	I purchased these to use with my iPod Nano, 3rd generation, blue. They match the color perfectly. The sound is excellent, I have tried a few headphones in the past, the sound does not compare. You dont need to turn the volume up very loud, which allows for better private listening. They are comfortable to wear and I would say its the best $55 I ever spent.	OMX80-Blue clip on ear speakers are compatiable with mp3 players, I-Pod and other portable devices with a 1/8 inch connector. BrandXYZ Basswind System delivers poweful bass response. Sweat and water-resistant, washable under running water.Cable and carrying pouch included. 2-year warranty.
13326	Perfect home-office phone	I've been working a lot from home, with my office downstairs and family members upstairs. This phone is perfect for wearing all over the house and even out in the backyard. Great sound quality and range. Easy to wear and when I keep it clipped on my shirt or belt, I can't lose it. Having this phone has saved me a lot of steps, either up the stairs to find a phone or down the stairs to find a phone.	The CT14 Cordless Headset Phone from BrandXYZ offers the ideal combination of size, mobility and hands-free convenience. The CT14 combines an ultra-portable dial pad that lets you make or take calls up to 300 feet away from the charging base with an integrated noise-canceling headset. This complete DECT 6.0 single-line telephone system won?t interfere with wireless networks or home appliances. The dial pad has up to 10 hours of talk time and includes features like Caller ID/Call Waiting, one-tou...
13511	This Mini Monster's Ready for ACTION	Let me just start by saying, aside from the amazing array of features on this camera, it's tons of fun. The SLO-MO is my personal favorite, well, that and the burst mode. While it does have brilliant stills, the video is amazing to shoot with. I love the 30-210 fps mode because it shows the drastic difference between regular speed (which is brilliant already) to slow motion, which really seems like you're entering a wrinkle in time, seriously. Yesterday I went to a gymnastics meet, and wow, did it blow my mind. Being able to look back and see the girls hurdling down toward the vault at normals speed (which sincerely looks like fast forwarding) and then click right over to 210 mid-shot for some mid air hang time. I can't even believe how gorgeous it is. I'm pretty sure I'm a cinematographer right now, and I won't stop!! I am actually using this camera for work, as I'm working on marketing, and even while it's my job to hype it - I LOVE it just as a p&s camera and easy video, for my own personal use.	Compact but Fast Digital Camera that takes stills at 40fps and videos at up 1000fps. It is 7mp, 20x zoom, with 3-inch LCD and 26mm Wide Angle Lens.
13512	High Speed Video at a Great Price	This is a great deal for high speed video. The next step up in performance will cost you $20K more. Great for beginner HSV. Still photos are decent. On par with cameras in that class. Lens has a long and useful range. Vibration reduction is not obvious compare to Nikon 18-200mm VR. LCD is big and nice. Controls are easy. Video quality is good to very good. With exception of 1000fps. Is seems to compress alot of data so the picture quality is medium to poor. 1000fps is also not quite fast enough for some high speed activities like catching bullets or popcorn popping.	Compact but Fast Digital Camera that takes stills at 40fps and videos at up 1000fps. It is 7mp, 20x zoom, with 3-inch LCD and 26mm Wide Angle Lens.
13298	Lives up to usual Plantronics Quality	I received apparently one of the first Plantronics CT14 cordless headset telephones, and the bottom line is that there are no big surprises, which means I like the telephone given that I had high expectations in view of my previous experience with Plantronics quality. I did not have either of the previous models, CT12 or CT10, so I cannot compare to those. However at my office for a number of years I have been using a CS10 cordless headset system which works with a multi-line telephone, and I have become quite addicted to using a headset. Based on what I think is an objective test, the audio quality and volume of the CT14 are superb. The way I test that is to call my own voicemail and, during the same call, switch between various telephones while leaving a message. Then I listen to the recorded message, again switching among various telephones. That lets me hear the quality for myself, without relying on a person I am talking to for a report. One characteristic I am pleased to see included is that it is possible to chain dial from recorded numbers in the "phonebook." Thus, when I use a calling card with a 1-800 access number I can then access the PIN in the phonebook to have that dialed as well, followed by the number of the person I am calling. With some other telephones, after you have used the "phonebook" and the call is in progress, the directory scrolling keys change to a different function (e.g. volume) and all the remaining numbers must be dialed by hand. The only negative thing I have to say about the CT14 is that there is a higher level of background noise than I am accustomed to, which I suspect (but do not know for sure) is an inherent part of the DECT 6.0 technology which uses a single frequency band for both sides of the conversation, and uses time division duplex. So, digitally, a lot is going on behind the scenes, and I think I am hearing digital artifacts. This is mitigated somewhat because there is ample volume. So the volume can be turned down, which reduces the background noise, while still being able to hear the person on the other side. At some point I may compare to another DECT 6.0 telephone, or attempt to see what Plantronics has on this issue. (Update: I called Plantronics and a very pleasant rep assured me that the background noise I am hearing is not normal. The background should be quiet. He gave me an RMA number to send back the telephone for a replacement, but before I do that I am going to try the telephone someplace else. It is possible there is some sort of electrical interference unique to my house. Now that I finally have this telephone, I am very reluctant to part with it for any length of time. I really like it.) Earlier complaints regarding the predecessor CT12 concerned interference with Wi-Fi networks, and it seems clear that is not a problem with the CT14. The CT14 operates on a different frequency band (1920-1930 MHz versus 2400-2500 MHz), and that is an advertised feature of the CT14.	The CT14 Cordless Headset Phone from BrandXYZ offers the ideal combination of size, mobility and hands-free convenience. The CT14 combines an ultra-portable dial pad that lets you make or take calls up to 300 feet away from the charging base with an integrated noise-canceling headset. This complete DECT 6.0 single-line telephone system won?t interfere with wireless networks or home appliances. The dial pad has up to 10 hours of talk time and includes features like Caller ID/Call Waiting, one-tou...
